Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
53345896,People From My Neighbourhood,Hiromi Kawakami,"Kawakami, Hiromi",Ted Goossen,"=""1846276985""","=""9781846276989""",0,3.71,Granta Books,Paperback,121,2020,2020,,2021/01/12,to-read,to-read (#174),to-read,,,,0,,,0,,,,,
33401681,Storm in a Teacup: The Physics of Everyday Life,Helen Czerski,"Czerski, Helen",,"=""""","=""""",0,4.02,W. W. Norton & Company,Kindle Edition,273,2017,2017,,2021/01/12,to-read,to-read (#173),to-read,,,,0,,,0,,,,,
45892263,Indelicacy,Amina Cain,"Cain, Amina",,"=""0374148376""","=""9780374148379""",5,3.54,"Farrar, Straus and Giroux",Hardcover,176,2020,2020,2021/01/10,2020/11/04,my-cup-of-tea,my-cup-of-tea (#6),read,,,,1,,,0,,,,,
52351634,Dissipatio H.G.: The Vanishing,Guido Morselli,"Morselli, Guido",Frederika Randall,"=""1681374765""","=""9781681374765""",0,3.89,New York Review Books,Paperback,168,2020,1977,,2021/01/05,to-read,to-read (#171),to-read,,,,0,,,0,,,,,
18693771,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,"Kolk, Bessel van der",,"=""0670785938""","=""9780670785933""",5,4.45,Viking,Hardcover,443,2014,2014,2020/12/30,2020/12/30,,,read,,,,1,,,0,,,,,
41800851,The Full Stack Developer: Your Essential Guide to the Everyday Skills Expected of a Modern Full Stack Web Developer,Chris Northwood,"Northwood, Chris",,"=""1484241517""","=""9781484241516""",4,3.59,Apress,Paperback,348,2018,,2020/12/20,2020/12/20,,,read,,,,1,,,0,,,,,
45894065,"Good Morning, Midnight",Jean Rhys,"Rhys, Jean",,"=""0393357805""","=""9780393357806""",0,3.89,W. W. Norton  Company,Paperback,208,2020,1939,,2020/12/19,to-read,to-read (#170),to-read,,,,0,,,0,,,,,
358805,The Child that Books Built,Francis Spufford,"Spufford, Francis",,"=""0571214673""","=""9780571214679""",0,3.48,Faber and Faber,Paperback,214,2003,2002,,2020/12/19,to-read,to-read (#169),to-read,,,,0,,,0,,,,,
18050016,Rodale's Basic Organic Gardening: A Beginner's Guide to Starting a Healthy Garden,Deborah L. Martin,"Martin, Deborah L.",Organic Gardening Magazine,"=""1609619838""","=""9781609619831""",0,4.30,Rodale Books,Paperback,336,2014,2014,,2020/12/13,to-read,to-read (#168),to-read,,,,0,,,0,,,,,
43715643,Fragments of an Infinite Memory,Maël Renouard,"Renouard, Maël",Peter Behrman de Sinety,"=""""","=""""",0,3.73,New York Review Books,Kindle Edition,280,2019,,,2020/12/08,to-read,to-read (#167),to-read,,,,0,,,0,,,,,
